review,review_length,rating
ajarin driver sop untuk ramah ke pelanggan dari awal pick up muka udh jutek oke saya b aja pas jln nya pelan pdhl saya udh mintol dgn sopan pak maaf jln nya bsa cepet gk saya dah telat tpi dia jawab ketus oke saya msh sabar pas di jln saya di salahin sama driver nya mba harus nya tau dong lokasi nya dmna kan jadi nya nyasar hello gua naik ojol tuh emang gk tau alamat nya trs ngapain gua naik ojol kalo gua yg harus cari tau alamat nya padahal udh tag alamat sesuai tujuan,96,1
pantes ngorder g dpt2 driver pas dicek di maps g ada driver kyk gambar motor gt di sekitaran sy tp anehnya di dpn rmh sy ada ruko byk bgt driver ya dsitu ykn itu gojek logonya gojek tp ngorder aj susah kok jd busuk gini y gojek sekarang sampe mo ngorder aj susah lbh mudah pk apk sebelah  dibilang tdk ada driver di daerah saya whatt itu di depan rmh saya ruko sampai ke dkt resto di situ byk drivermasa iya satu aj g ada yg bisa pick up order dh ok pk grabfood aj,95,1
saya gak mw ah digojek saya ada vocer diskon nya soal nya klw ada diskon bgitu driver nya pd gak mw maknya saya klw lg diskon saya gak pke2 gocar saya naek gojek motor ja klw gocar gak pd mw klw murah glran mhl gak diskon bru pd mw gmna si driver gocar nya mw nya mhl ja gak diskon glran diskon ja susah maggil gocar biarin lah saya mah gak diskon jg gak pa2 biasa ja deh yg pnting bisa bragkt krja mw pun pulag naek gocar soal saya kn kerja bth bgt gocar,95,1
sy sering menggunakan go ride dan kendala yang saya alami adalah menunggu driver rumah sy di daerah kota yang sangat gampang dan cepat sekali mendapatkan driver dan sy byasa menuju ke daerah pinggiran kota yang jarang driver dan keperluan sy hanya 10menit kembali lagi ke rumah saat sy order untuk kembali pasti lama sekali dapat driver  padahal driver yang sy tumpangi tadi masih ada di depan saya  saran saya adakan paket pp pulang pergi  jd kami sebagai customer gak kelamaan nunggu driver lain kata drivernya gak boleh nrima order orang yang sama pada hari yang sama,96,5
sy kmrn sore sempat komplen ke bantuan cs di apl pagi kmrn sy ga ngeh klo sdh byr driver lwt gopay tp sy ttp byr biasa mlh lebih  drivernya diem aja maen terima uangnya ga ngingetin sy klo sdh pakai gopay mmg sy jg yg salah sy jg udh ikhlasin tp sy ttp coba lwt bantuan cs dan pagi ini cb lg bantuan cs alhamdulillah hitungan menit gopay sy mlh dikembalikan lagi trimakasih cs gojeknya y responnya cepat  buat custumer yg penting jujur komplennya karna cs nya good bgt  sehat  sukses bt gojek,93,5
pemberitahuan buat ibu2 bpk2 mas2 mba2 khusus yg order di st kota kawasan wisata kota tua depan bank bni klo sudah order gojek mohon di tunggu jgn mau tawaran ojek pangkalan kami sebagai driver jd sering cancel gara2 sudah di titik jemput tp mba2 mas2nya uda ga ada krn sudah naik ojek pangkalan klo mw naik ojek pangkalan jgn order gojek langsung aja nego di muka kadang mw ke titik jemput kita jalan bs lebih dri 1km setelah sampai kalian naik opang trus harus cancel lg tolong ya,88,5
